Id,Category
1,INFJ
2,INFJ
3,INFJ
4,INFJ
5,INFJ
6,INFJ
7,INFJ
8,INFJ
9,INFJ
10,INFJ
11,INFJ
12,INFJ
13,INFJ
14,INFJ
15,INFJ
16,INFJ
17,INFJ
18,INFJ
19,INFJ
20,INFJ
21,INFJ
22,INFJ
23,INFJ
24,INFJ
25,INFJ
26,INFJ
27,INFJ
28,INFJ
29,INFJ
30,INFJ
31,INFJ
32,INFJ
33,INFJ
34,INFJ
35,INFJ
36,INFJ
37,INFJ
38,INFJ
39,INFJ
40,INFJ
41,INFJ
42,INFJ
43,INFJ
44,INFJ
45,INFJ
46,INFJ
47,INFJ
48,INFJ
49,INFJ
50,INFJ
51,INFJ
52,INFJ
53,INFJ
54,INFJ
55,INFJ
56,INFJ
57,INFJ
58,INFJ
59,INFJ
60,INFJ
61,INFJ
62,INFJ
63,INFJ
64,INFJ
65,INFJ
66,INFJ
67,INFJ
68,INFJ
69,INFJ
70,INFJ
71,INFJ
72,INFJ
73,INFJ
74,INFJ
75,INFJ
76,INFJ
77,INFJ
78,INFJ
79,INFJ
80,INFJ
81,INFJ
82,INFJ
83,INFJ
84,INFJ
85,INFJ
86,INFJ
87,INFJ
88,INFJ
89,INFJ
90,INFJ
91,INFJ
92,INFJ
93,INFJ
94,INFJ
95,INFJ
96,INFJ
97,INFJ
98,INFJ
99,INFJ
100,INFJ
101,INFJ
102,INFJ
103,INFJ
104,INFJ
105,INFJ
106,INFJ
107,INFJ
108,INFJ
109,INFJ
110,INFJ
111,INFJ
112,INFJ
113,INFJ
114,INFJ
115,INFJ
116,INFJ
117,INFJ
118,INFJ
119,INFJ
120,INFJ
121,INFJ
122,INFJ
123,INFJ
124,INFJ
125,INFJ
126,INFJ
127,INFJ
128,INFJ
129,INFJ
130,INFJ
131,INFJ
132,INFJ
133,INFJ
134,INFJ
135,INFJ
136,INFJ
137,INFJ
138,INFJ
139,INFJ
140,INFJ
141,INFJ
142,INFJ
143,INFJ
144,INFJ
145,INFJ
146,INFJ
147,INFJ
148,INFJ
149,INFJ
150,INFJ
151,INFJ
152,INFJ
153,INFJ
154,INFJ
155,INFJ
156,INFJ
157,INFJ
158,INFJ
159,INFJ
160,INFJ
161,INFJ
162,INFJ
163,INFJ
164,INFJ
165,INFJ
166,INFJ
167,INFJ
168,INFJ
169,INFJ
170,INFJ
171,INFJ
172,INFJ
173,INFJ
174,INFJ
175,INFJ
176,INFJ
177,INFJ
178,INFJ
179,INFJ
180,INFJ
181,INFJ
182,INFJ
183,INFJ
184,INFJ
185,INFJ
186,INFJ
187,INFJ
188,INFJ
189,INFJ
190,INFJ
191,INFJ
192,INFJ
193,INFJ
194,INFJ
195,INFJ
196,INFJ
197,INFJ
198,INFJ
199,INFJ
200,INFJ
201,INFJ
202,INFJ
203,INFJ
204,INFJ
205,INFJ
206,INFJ
207,INFJ
208,INFJ
209,INFJ
210,INFJ
211,INFJ
212,INFJ
213,INFJ
214,INFJ
215,INFJ
216,INFJ
217,INFJ
218,INFJ
219,INFJ
220,INFJ
221,INFJ
222,INFJ
223,INFJ
224,INFJ
225,INFJ
226,INFJ
227,INFJ
228,INFJ
229,INFJ
230,INFJ
231,INFJ
232,INFJ
233,INFJ
234,INFJ
235,INFJ
236,INFJ
237,INFJ
238,INFJ
239,INFJ
240,INFJ
241,INFJ
242,INFJ
243,INFJ
244,INFJ
245,INFJ
246,INFJ
247,INFJ
248,INFJ
249,INFJ
250,INFJ
251,INFJ
252,INFJ
253,INFJ
254,INFJ
255,INFJ
256,INFJ
257,INFJ
258,INFJ
259,INFJ
260,INFJ
261,INFJ
262,INFJ
263,INFJ
264,INFJ
265,INFJ
266,INFJ
267,INFJ
268,INFJ
269,INFJ
270,INFJ
271,INFJ
272,INFJ
273,INFJ
274,INFJ
275,INFJ
276,INFJ
277,INFJ
278,INFJ
279,INFJ
280,INFJ
281,INFJ
282,INFJ
283,INFJ
284,INFJ
285,INFJ
286,INFJ
287,INFJ
288,INFJ
289,INFJ
290,INFJ
291,INFJ
292,INFJ
293,INFJ
294,INFJ
295,INFJ
296,INFJ
297,INFJ
298,INFJ
299,INFJ
300,INFJ
301,INFJ
302,INFJ
303,INFJ
304,INFJ
305,INFJ
306,INFJ
307,INFJ
308,INFJ
309,INFJ
310,INFJ
311,INFJ
312,INFJ
313,INFJ
314,INFJ
315,INFJ
316,INFJ
317,INFJ
318,INFJ
319,INFJ
320,INFJ
321,INFJ
322,INFJ
323,INFJ
324,INFJ
325,INFJ
326,INFJ
327,INFJ
328,INFJ
329,INFJ
330,INFJ
331,INFJ
332,INFJ
333,INFJ
334,INFJ
335,INFJ
336,INFJ
337,INFJ
338,INFJ
339,INFJ
340,INFJ
341,INFJ
342,INFJ
343,INFJ
344,INFJ
345,INFJ
346,INFJ
347,INFJ
348,INFJ
349,INFJ
350,INFJ
351,INFJ
352,INFJ
353,INFJ
354,INFJ
355,INFJ
356,INFJ
357,INFJ
358,INFJ
359,INFJ
360,INFJ
361,INFJ
362,INFJ
363,INFJ
364,INFJ
365,INFJ
366,INFJ
367,INFJ
368,INFJ
369,INFJ
370,INFJ
371,INFJ
372,INFJ
373,INFJ
374,INFJ
375,INFJ
376,INFJ
377,INFJ
378,INFJ
379,INFJ
380,INFJ
381,INFJ
382,INFJ
383,INFJ
384,INFJ
385,INFJ
386,INFJ
387,INFJ
388,INFJ
389,INFJ
390,INFJ
391,INFJ
392,INFJ
393,INFJ
394,INFJ
395,INFJ
396,INFJ
397,INFJ
398,INFJ
399,INFJ
400,INFJ
401,INFJ
402,INFJ
403,INFJ
404,INFJ
405,INFJ
406,INFJ
407,INFJ
408,INFJ
409,INFJ
410,INFJ
411,INFJ
412,INFJ
413,INFJ
414,INFJ
415,INFJ
416,INFJ
417,INFJ
418,INFJ
419,INFJ
420,INFJ
421,INFJ
422,INFJ
423,INFJ
424,INFJ
425,INFJ
426,INFJ
427,INFJ
428,INFJ
429,INFJ
430,INFJ
431,INFJ
432,INFJ
433,INFJ
434,INFJ
435,INFJ
436,INFJ
437,INFJ
438,INFJ
439,INFJ
440,INFJ
441,INFJ
442,INFJ
443,INFJ
444,INFJ
445,INFJ
446,INFJ
447,INFJ
448,INFJ
449,INFJ
450,INFJ
451,INFJ
452,INFJ
453,INFJ
454,INFJ
455,INFJ
456,INFJ
